Таска,Files & media,GEO,Id,Post,Text,link,Баєр,Дата взяття в роботу,Дата видачі,Дата створення,Дизайнер,К-сть,Креатив,Мова,Пріорітет,Розмір,Статус таски,Тип креатива:
адаптация,Design%20Room/2653255875_GA_v1.mp4,SY(Сирія),TS-272,"ID: TS-272
Buyer: @Trocenkooo
Task: https://www.notion.so/36823fd746b68025ae06fccbe84ae798?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","нужно адаптация под сирию , 3 варианта 
цвета которые использовать зеленый , золотой , Глубокий синий 
в каждом видео разный цвет оформления ",https://www.notion.so/36823fd746b68025ae06fccbe84ae798?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Trocenkooo,26/05/2026,26/05/2026,"May 22, 2026 3:10 PM",@Sanchouzini(Саша З.),3,Відео,,Medium,Reels(9:16),Виконано,Адаптація
"курка+повідомлення ",Design%20Room/sy192ch.mp4,SY(Сирія),TS-273,"ID: TS-273
Buyer: @Yak08lev
Task: https://www.notion.so/36923fd746b680f7bc6ce854f9727929?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/36923fd746b680f7bc6ce854f9727929?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,29/05/2026,,"May 23, 2026 6:09 PM",@Sanchouzini(Саша З.),1,Відео,Арабська,Medium,Reels(9:16),Перевірка,з нуля
сабвейсерф,Design%20Room/sy192ch.mp4,SY(Сирія),TS-274,"ID: TS-274
Buyer: @Yak08lev
Task: https://www.notion.so/36923fd746b680068629d63333193780?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/36923fd746b680068629d63333193780?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,27/05/2026,28/05/2026,"May 23, 2026 8:05 PM",@omotiongg(Влад),1,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
курка1+,,SY(Сирія),TS-275,"ID: TS-275
Buyer: @Yak08lev
Task:",,,@Yak08lev,,,"May 23, 2026 8:18 PM",@Sanchouzini(Саша З.),1,Відео,"Арабська ",Medium,Reels(9:16),Нова таска,з нуля
"жабка+повідомлення ",,SY(Сирія),TS-276,"ID: TS-276
Buyer: @Yak08lev
Task:",,,@Yak08lev,,,"May 24, 2026 12:51 AM",@Vitarillio_diz(Віталік),1,Відео,Арабська,Medium,Reels(9:16),Нова таска,з нуля
Banking SY,"Design%20Room/sy2banking.jpeg, Design%20Room/sy1banking.jpg",SY(Сирія),TS-277,"ID: TS-277
Buyer: @SBabchuk
Task: https://www.notion.so/Banking-SY-36a23fd746b680a0a316d311cfb3b40d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Banking-SY-36a23fd746b680a0a316d311cfb3b40d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,26/05/2026,26/05/2026,"May 24, 2026 10:38 AM",@Vitarillio_diz(Віталік),4,Статика,Арабська,Critical,-,Виконано,Адаптація
DE Legion,"https://www.tiktok.com/@gooll.today/photo/7635591494706941206?q=Arsnal%20PSG&t=1779702352848, Design%20Room/TS-200_UK_v3uk82sl.mp4",de,TS-278,"ID: TS-278
Buyer: @SBabchuk
Task: https://www.notion.so/DE-Legion-36b23fd746b68023a937d84b4e8b223b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/DE-Legion-36b23fd746b68023a937d84b4e8b223b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,26/05/2026,26/05/2026,"May 25, 2026 12:46 PM",@Vitarillio_diz(Віталік),1,Статика,Німецька,High,-,Виконано,Адаптація
DE Legion,"https://www.tiktok.com/@www.gunner.com26/video/7643697540252060936?q=Arsnal%20PSG&t=1779702352848, Design%20Room/TS-200_UK_v3uk82sl%201.mp4",de,TS-279,"ID: TS-279
Buyer: @SBabchuk
Task: https://www.notion.so/DE-Legion-36b23fd746b680e78f74dfc0d337f4c5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/DE-Legion-36b23fd746b680e78f74dfc0d337f4c5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,,27/05/2026,"May 25, 2026 12:52 PM",@Vitarillio_diz(Віталік),1,Відео,Німецька,High,-,Виконано,Адаптація
De Legion,"https://www.tiktok.com/@boussole48/video/7643554132011257110?q=Arsnal%20PSG&t=1779702352848, Design%20Room/TS-200_UK_v3uk82sl%202.mp4",de,TS-280,"ID: TS-280
Buyer: @SBabchuk
Task: https://www.notion.so/De-Legion-36b23fd746b680129d24cc83b2238b6b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/De-Legion-36b23fd746b680129d24cc83b2238b6b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,,27/05/2026,"May 25, 2026 12:55 PM",@Vitarillio_diz(Віталік),1,Відео,Німецька,High,-,Виконано,Адаптація
De Legoin,"https://www.tiktok.com/@seekaabu/video/7642218305725517074?q=Arsnal%20PSG&t=1779702352848, Design%20Room/TS-200_UK_v3uk82sl%203.mp4",de,TS-281,"ID: TS-281
Buyer: @SBabchuk
Task: https://www.notion.so/De-Legoin-36b23fd746b680dc982df88e2d35b255?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/De-Legoin-36b23fd746b680dc982df88e2d35b255?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,26/05/2026,26/05/2026,"May 25, 2026 12:59 PM",@Vitarillio_diz(Віталік),1,Відео,Німецька,High,-,Виконано,Адаптація
"news ",,SY(Сирія),TS-282,"ID: TS-282
Buyer: @Trocenkooo
Task: https://www.notion.so/news-36b23fd746b680ef9bfcde63c90e0475?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","Привет нужно сделать новостник на сирию 
сылка на видео : https://www.youtube.com/watch?v=_V57MfvkLTQ 
нужно заменить строки  
Основная (большая) бегущая строка (Белый фон, черный текст):البنك المركزي السوري يسهل عمليات السحب الفوري لمستخدمي التطبيقات الذكية (Центральный банк Сирии облегчает операции мгновенного вывода средств для пользователей смарт-приложений) 
Нижняя (узкая) бегущая строка (Синий фон, белый текст):شعبية تطبيق ""Chicken Road"" تتضاعف في دمشق وحلب بسبب الأرباح اليومية السريعة بالليرة السورية (Популярность приложения ""Chicken Road"" удваивается в Дамаске и Алеппо из-за быстрых ежедневных доходов в сирийских фунтах). 
озвучка (текст
Ведущий 
العربية: في الآونة الأخيرة، أصبح تطبيق ""Chicken Road"" حديث الشارع السوري بأكمله. آلاف المواطنين يؤكدون أن التطبيق ساعدهم في التغلب على الصعوبات المالية هذا الربيع. واليوم، نستضيف في استوديو الأخبار خبيراً اقتصادياً لنفهم معاً: هل هذا مجرد اتجاه عابر أم فرصة حقيقية للسوريين؟
(Русский перевод): 
(В последнее время приложение ""Chicken Road"" стало главной темой обсуждения на улицах Сирии. Тысячи граждан подтверждают, что приложение помогло им преодолеть финансовые трудности этой весной. И сегодня мы принимаем в нашей новостной студии экономического эксперта, чтобы вместе разобраться: это просто мимолетный тренд или реальная возможность для сирийцев?)

эксперт 

العربية: أهلاً بك. لقد قمنا بدراسة خوارزمية ""Chicken Road"" بشكل دقيق. إن احتمالية الفوز هناك مهيأة بالفعل لتصل إلى 98% للمستخدمين داخل سوريا. والسبب بسيط 
للغاية: المنصة تدخل سوقنا حالياً بقوة وتوزع أرباحاً هائلة لجذب الجمهور. علاوة على ذلك، فقد وفروا ميزة السحب الفوري بالليرة السورية، مما يزيل أي عوائق أمام السوريين

Русский перевод): (Здравствуйте. Мы детально изучили алгоритм ""Chicken Road"". Вероятность выигрыша там действительно настроена так, что достигает 98% для пользователей внутри Сирии. И причина очень проста: платформа сейчас активно заходит на наш рынок и распределяет огромную прибыль для привлечения аудитории. Более того, они предусмотрели функцию моментального вывода в сирийских фунтах, что убирает любые барьеры для сирийцев.)

потом нужно вставить гемплей с игрой Сhicken road 
дальше идет текст 
 (Продолжение на фоне геймплея)
• العربية: أكثر من ذلك، هناك برنامج ترحيبي مميز متاح حالياً للمستخدمين الجدد من سوريا. عند التسجيل، يحصل كل شخص مضموناً على 150 جولة مجانية بالإضافة إلى مضاعفة الرصيد الأول بثلاثة أضعاف. هذه دفعة ممتازة للشباب ولكل من يبحث عن دخل إضافي سريع.

перевод 
(Более того, прямо сейчас для новых пользователей из Сирии доступна отличная приветственная программа. При регистрации каждый человек гарантированно получает 150 бесплатных раундов, а также утроение первого баланса. Это прекрасный толчок для молодежи и для всех, кто ищет быстрый дополнительный доход.)
Ведущий 
العربية: حسناً، الأرقام تتحدث عن نفسها. لكن وجب التنويه بسرعة: وفقاً لمعلوماتنا، فإن الحصص المخصصة للمكافآت المجانية في سوريا محدودة للغاية وقد تنفد في الساعات القليلة القادمة. الرابط الرسمي والآمن للتطبيق مثبت مباشرة أسفل هذا الفيديو. سارعوا بالدخول واضمنوا مكافآتكم الآن 

(Что ж, цифры говорят сами за себя. Однако стоит поторопиться: по нашей информации, лимиты, выделенные на бесплатные бонусы в Сирии, строго ограничены и могут закончиться в ближайшие несколько часов. Официальная и безопасная ссылка на приложение закреплена прямо под этим видео. Поспешите перейти и забрать свои бонусы прямо сейчас.) 


в конце ставить лого Chicken road плажки для загрузки , и плажеки Siriatel | sham cash
так же добавить телефон , на экране которого будет банковское приложение с зачисленнием денег от Chicken Road 
Syria Cash (визуал нужно взять как выглядит платежная система  ) ",https://www.notion.so/news-36b23fd746b680ef9bfcde63c90e0475?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Trocenkooo,27/05/2026,27/05/2026,"May 25, 2026 2:04 PM",@Sanchouzini(Саша З.),1,Відео,ar,Medium,-,Виконано,з нуля
UK Slotlair,,UK (Великобританія),TS-283,"ID: TS-283
Buyer: @SBabchuk
Task: https://www.notion.so/UK-Slotlair-36b23fd746b68050a85ecb7273fdbc6a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/UK-Slotlair-36b23fd746b68050a85ecb7273fdbc6a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,27/05/2026,27/05/2026,"May 25, 2026 3:36 PM",@Vitarillio_diz(Віталік),4,Відео,Англійська,High,-,Виконано,Адаптація
UK Slotlair,,UK (Великобританія),TS-284,"ID: TS-284
Buyer: @SBabchuk
Task: https://www.notion.so/UK-Slotlair-36b23fd746b680ec9a2ae1d7e2c1ca67?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/UK-Slotlair-36b23fd746b680ec9a2ae1d7e2c1ca67?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,27/05/2026,,"May 25, 2026 3:39 PM",@Vitarillio_diz(Віталік),1,Статика,Англійська,High,-,Виконано,Адаптація
NL LegionBet,,NL (Нідерланди),TS-285,"ID: TS-285
Buyer: @SBabchuk
Task: https://www.notion.so/NL-LegionBet-36b23fd746b680cdb482d23cfcc583a0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/NL-LegionBet-36b23fd746b680cdb482d23cfcc583a0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,27/05/2026,,"May 25, 2026 3:42 PM",@Vitarillio_diz(Віталік),1,Статика,Нідерланська,High,-,Виконано,Адаптація
NL LegionBet,,NL (Нідерланди),TS-286,"ID: TS-286
Buyer: @SBabchuk
Task: https://www.notion.so/NL-LegionBet-36b23fd746b6808db8eedc7177dfb526?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/NL-LegionBet-36b23fd746b6808db8eedc7177dfb526?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,27/05/2026,,"May 25, 2026 3:45 PM",@Vitarillio_diz(Віталік),1,Відео,Нідерланська,High,-,Виконано,Адаптація
паспорт + банк 1,"Design%20Room/Bankily.jpg, Design%20Room/%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B8_%D0%BC%D0%B0%D0%B2%D1%80.jpg, Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._00_15_22.png, Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._22_35_01.png, Design%20Room/BPM_(Banque_Populaire_de_Mauritanie.jpg",MR (Мавританія),TS-288,"ID: TS-288
Buyer: @Yak08lev
Task: https://www.notion.so/1-36b23fd746b680768c3cfb4c74936093?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-36b23fd746b680768c3cfb4c74936093?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,28/05/2026,28/05/2026,"May 25, 2026 10:19 PM",@omotiongg(Влад),2,Статика," Французька Арабська",Medium,Reels(9:16),Виконано,з нуля
паспорт + банк 2,"Design%20Room/ChatGPT_Image_24_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._21_15_59.png, Design%20Room/ChatGPT_Image_24_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._21_14_05.png, Design%20Room/2023_%D0%B1%D0%B5%D0%B7_%D0%BA%D0%B2%D0%B0%D0%B4%D1%80%D0%B0%D1%82%D0%BE%D0%B2.jpg, Design%20Room/sham_cash.jpg, Design%20Room/Syriatel_Cash.jpg",SY(Сирія),TS-289,"ID: TS-289
Buyer: @Yak08lev
Task:",,,@Yak08lev,28/05/2026,28/05/2026,"May 25, 2026 10:20 PM",@omotiongg(Влад),2,Статика,Арабська,Medium,Reels(9:16),Виконано,з нуля
" паспорт + банк 3","Design%20Room/ChatGPT_Image_24_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._22_53_15.png, Design%20Room/ChatGPT_Image_24_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._23_56_47.png, Design%20Room/nehxo3bdqk6b1.jpg, Design%20Room/iScreen_Shoter_-_20260527163635916.jpg",PA (Панама),TS-291,"ID: TS-291
Buyer: @Yak08lev
Task:",,,@Yak08lev,28/05/2026,28/05/2026,"May 25, 2026 10:21 PM",@omotiongg(Влад),1,Статика,Іспанська,Medium,Reels(9:16),Виконано,з нуля
паспорт + банк 4,"Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._15_56_04.png, Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._14_30_48.png, Design%20Room/Zain_cash_iraq.jpg, Design%20Room/iScreen_Shoter_-_20260527171652071.jpg, Design%20Room/699035800_1455098749228712_236390735892042419_n.jpg",IQ (Ірак),TS-292,"ID: TS-292
Buyer: @Yak08lev
Task:",,,@Yak08lev,28/05/2026,28/05/2026,"May 25, 2026 10:21 PM",@omotiongg(Влад),2,Статика,Арабська,Medium,Reels(9:16),Виконано,з нуля
паспорт + банк 5,"Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._15_40_08.png, Design%20Room/ChatGPT_Image_25_%D1%82%D1%80%D0%B0%D0%B2._2026_%D1%80._15_34_51.png, Design%20Room/Jordan-Passport.png, Design%20Room/compressed.707175013_1697137978295440_2714098350210986273_n.jpg, Design%20Room/zain_cash.jpg",JO (Йорданія),TS-293,"ID: TS-293
Buyer: @Yak08lev
Task:",,,@Yak08lev,28/05/2026,28/05/2026,"May 25, 2026 10:21 PM",@omotiongg(Влад),2,Статика,арабська,Medium,Reels(9:16),Виконано,з нуля
Креативы для пушей,,Мультигео,TS-294,"ID: TS-294
Buyer: @yezhzhee
Task: https://www.notion.so/36d23fd746b6800eb0eed7a9a243defa?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","Визуальный стиль
• Яркие насыщенные цвета — золотой, красный, фиолетовый, зелёный
• Тёмный фон — чёрный, тёмно-синий, тёмно-фиолетовый
• Высокая контрастность
• Эффекты: свечение, блики, частицы, искры, конфетти
• Стиль 3D рендер или высококачественная иллюстрация
• Без логотипов и брендинга
• Без текста на изображении 
В комментах указал 15 примеров для креативов, на их основе сделать по 5 шутки на каждую тему
Добавить креативы на эту доску - https://www.figma.com/design/sHyq0AuPmYfTB2PHq8v1Uf/DEV.-hub?node-id=0-1&p=f&t=DicRIdmDPBzClPRJ-0",https://www.notion.so/36d23fd746b6800eb0eed7a9a243defa?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@yezhzhee,27/05/2026,,"May 27, 2026 2:10 PM",@FoxcreativeS(Денис),75,Статика,-,High,-,Виконано,з нуля
chicken1,Design%20Room/SYMA3%201.mp4,SY(Сирія),TS-298,"ID: TS-298
Buyer: @kuchinelli
Task: https://www.notion.so/chicken1-36d23fd746b6802685b2d0dfda95d083?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken1-36d23fd746b6802685b2d0dfda95d083?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,27/05/2026,28/05/2026,"May 27, 2026 3:16 PM",@Sanchouzini(Саша З.),5,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
chicken2,Design%20Room/SYH5.mp4,SY(Сирія),TS-299,"ID: TS-299
Buyer: @kuchinelli
Task: https://www.notion.so/chicken2-36d23fd746b680908711cd1a37aaf564?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken2-36d23fd746b680908711cd1a37aaf564?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,27/05/2026,28/05/2026,"May 27, 2026 3:22 PM",@Sanchouzini(Саша З.),5,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
chicken3,Design%20Room/SYH3.mp4,SY(Сирія),TS-300,"ID: TS-300
Buyer: @kuchinelli
Task: https://www.notion.so/chicken3-36d23fd746b680ddadc6d7645a2f3195?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken3-36d23fd746b680ddadc6d7645a2f3195?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,27/05/2026,28/05/2026,"May 27, 2026 3:27 PM",@Sanchouzini(Саша З.),5,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
chicken4,Design%20Room/2545643313_SYm%202.mp4,SY(Сирія),TS-302,"ID: TS-302
Buyer: @kuchinelli
Task: https://www.notion.so/chicken4-36d23fd746b680138409c7345e9a7fff?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken4-36d23fd746b680138409c7345e9a7fff?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,27/05/2026,28/05/2026,"May 27, 2026 3:35 PM",@Sanchouzini(Саша З.),5,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
Plinko,Design%20Room/plinarab.mp4,Multi arab,TS-303,"ID: TS-303
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,28/05/2026,29/05/2026,"May 28, 2026 1:53 PM",@Vitarillio_diz(Віталік),3,Відео,Arabic,Medium,Reels(9:16),В процесі,Адаптація
Slot,Design%20Room/2578364244_MULTI_v2.mp4,multi,TS-304,"ID: TS-304
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,28/05/2026,29/05/2026,"May 28, 2026 1:58 PM",@Vitarillio_diz(Віталік),2,Відео,Англійська,Medium,Reels(9:16),Перевірка,Адаптація
Slot,Design%20Room/plslot11.mp4,multi,TS-305,"ID: TS-305
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,28/05/2026,01/06/2026,"May 28, 2026 2:20 PM",@Vitarillio_diz(Віталік),2,Відео,Англійська,Medium,Reels(9:16),В процесі,Адаптація
плінко адапт,Design%20Room/TS-86_SYsy2%201.mp4,QA,TS-306,"ID: TS-306
Buyer: @Yak08lev
Task:",,,@Yak08lev,,,"May 28, 2026 3:02 PM",@omotiongg(Влад),2,Відео,"Арабська ",Medium,Reels(9:16),Нова таска,Адаптація
,,,TS-307,"ID: TS-307
Buyer: 
Task:",,,,,,"May 28, 2026 4:33 PM",,,Відео,,,,Hold,
FDJ Casino,Design%20Room/%D0%97%D0%BD%D1%96%D0%BC%D0%BE%D0%BA_%D0%B5%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2026-05-30_%D0%BE_00.22.54.png,FR,TS-308,"ID: TS-308
Buyer: @dephustler
Task:",,,@dephustler,,,"May 29, 2026 11:10 PM",@dmitriy_designer_gamble(Діма),1,PWA,FR,High,,Нова таска,з нуля
chicken,,LB (Ліван),TS-310,"ID: TS-310
Buyer: @kuchinelli
Task:",,,@kuchinelli,,,"May 30, 2026 7:51 PM",@dmitriy_designer_gamble(Діма),2,Статика,арабська,Medium,Квадрат(1:1),Нова таска,з нуля
